ID,BooksTitle
1,The Handmaid's Tale
2,Anna Karenina
3,Hamlet
4,Don Quixote
5,The Grapes of Wrath
6,To Kill a Mockingbird
7,The Good Soldier
8,Great Expectations
9,David Copperfield
10,Ulysses
11,The Sun Also Rises
12,Les Miserables
13,Lord of the Flies
14,The Divine Comedy
15,Invisible Man
16,Robinson Crusoe
17,Game of Thrones
18,Vanity Fair
19,Moby Dick
20,The Sound and the Fury
21,To the Lighthouse
22,The Scarlet Letter
23,The Canterbury Tales
24,Paradise Lost
25,Nineteen Eighty Four
26,The Flowers of Evil
27,Gone With the Wind
28,In Search of Lost Time
29,Tess of the d'Urbervilles
30,The Great Gatsby
31,The Odyssey
32,The Lord of The Rings
33,Oedipus at Colonus
34,Gargantua and Pantagruel
35,The Red and the Black
36,Tristram Shandy
37,One Thousand and One Nights
38,Wuthering Heights
39,Lolita
40,War and Peace
41,Pride and Prejudice
42,Madame Bovary
43,The Metamorphosis
44,Oedipus
45,One Hundred Years of Solitude
46,The Magic Mountain
47,The Brothers Karamazov 
48,Alice Adventures in Wonderland
49,Emma
50,The Old Man and the Sea
51,Gulliver's Travels
